"","run_id","stress","stable","block_no","block","trial_no","b1","b2","b3","b4","resp","advantageous","switch"
"3644",71,"yes","no","b04","1",44,-52,17,-61,27,2,0,0
"3645",71,"yes","no","b04","1",45,-52,16,-75,30,3,0,1
"3646",71,"yes","no","b04","1",46,-56,5,-48,21,1,0,1
"3647",71,"yes","no","b04","1",47,-65,23,-51,19,2,1,1
"3648",71,"yes","no","b04","1",48,-80,-1,-76,24,2,0,0
"3649",71,"yes","no","b04","1",49,-59,19,-52,30,2,0,0
"3650",71,"yes","no","b04","1",50,-31,34,-60,27,2,1,0
"3651",71,"no","no","b02","2",1,-44,14,-15,24,1,0,NA
"3652",71,"no","no","b02","2",2,-37,2,-15,2,4,0,1
"3653",71,"no","no","b02","2",3,-34,11,-24,3,2,1,1
"3654",71,"no","no","b02","2",4,-22,25,-35,31,3,0,1
"3655",71,"no","no","b02","2",5,-33,-8,-34,28,2,0,1
"3656",71,"no","no","b02","2",6,-28,-10,-21,30,1,0,1
"3657",71,"no","no","b02","2",7,-4,-5,-1,19,1,0,0
"3658",71,"no","no","b02","2",8,-19,-3,9,26,1,0,0
"3659",71,"no","no","b02","2",9,-31,-6,44,11,4,0,1
"3660",71,"no","no","b02","2",10,-18,-27,22,20,4,0,0
"3661",71,"no","no","b02","2",11,-19,-21,16,7,4,0,0
"3662",71,"no","no","b02","2",12,5,-18,51,25,4,0,0
"3663",71,"no","no","b02","2",13,-12,-46,43,26,4,0,0
"3664",71,"no","no","b02","2",14,-23,-41,46,12,4,0,0
"3665",71,"no","no","b02","2",15,-51,-29,9,-20,4,0,0
"3666",71,"no","no","b02","2",16,-40,-52,12,-49,2,0,1
"3667",71,"no","no","b02","2",17,-79,-55,0,-19,3,1,1
"3668",71,"no","no","b02","2",18,-63,-65,-6,-8,3,1,0
"3669",71,"no","no","b02","2",19,-60,-78,-9,-5,3,0,0
"3670",71,"no","no","b02","2",20,-42,-59,-4,6,4,1,1
"3671",71,"no","no","b02","2",21,-45,-57,-19,14,4,1,0
"3672",71,"no","no","b02","2",22,-55,-57,-2,12,4,1,0
"3673",71,"no","no","b02","2",23,-80,-52,-19,3,4,1,0
"3674",71,"no","no","b02","2",24,-80,-56,2,5,4,1,0
"3675",71,"no","no","b02","2",25,-59,-54,9,16,4,1,0
"3676",71,"no","no","b02","2",26,-50,-66,-13,-10,1,0,1
"3677",71,"no","no","b02","2",27,-64,-79,-1,-38,2,0,1
"3678",71,"no","no","b02","2",28,-66,-78,12,-44,3,1,1
"3679",71,"no","no","b02","2",29,-64,-77,12,-41,4,0,1
"3680",71,"no","no","b02","2",30,-78,-72,-18,-26,3,1,1
"3681",71,"no","no","b02","2",31,-80,-59,-22,-4,1,0,1
"3682",71,"no","no","b02","2",32,-61,-54,-25,-36,2,0,1
"3683",71,"no","no","b02","2",33,-58,-49,-11,-44,3,1,1
"3684",71,"no","no","b02","2",34,-41,-64,-13,-57,4,0,1
"3685",71,"no","no","b02","2",35,-12,-80,-29,-67,3,0,1
"3686",71,"no","no","b02","2",36,-25,-74,-14,-79,3,1,0
"3687",71,"no","no","b02","2",37,-24,-68,-26,-75,2,0,1
"3688",71,"no","no","b02","2",38,-2,-54,-47,-55,2,0,0
"3689",71,"no","no","b02","2",39,-3,-66,-79,-52,1,1,1
"3690",71,"no","no","b02","2",40,18,-71,-50,-29,1,1,0
"3691",71,"no","no","b02","2",41,0,-70,-31,-24,1,1,0
"3692",71,"no","no","b02","2",42,25,-68,-57,-10,1,1,0
"3693",71,"no","no","b02","2",43,19,-65,-71,-6,1,1,0
"3694",71,"no","no","b02","2",44,30,-80,-67,-4,1,1,0
"3695",71,"no","no","b02","2",45,51,-80,-80,-13,1,1,0
"3696",71,"no","no","b02","2",46,58,-76,-80,-11,1,1,0
"3697",71,"no","no","b02","2",47,50,-62,-77,-11,1,1,0
"3698",71,"no","no","b02","2",48,54,-56,-80,-11,1,1,0
"3699",71,"no","no","b02","2",49,11,-22,-53,-35,1,1,0
"3700",71,"no","no","b02","2",50,13,-43,-69,-36,1,1,0
"3701",71,"yes","yes","b11","3",1,32,-42,10,-10,1,1,NA
"3702",71,"yes","yes","b11","3",2,27,-35,14,-8,2,0,1
"3703",71,"yes","yes","b11","3",3,25,-34,4,-4,3,0,1
"3704",71,"yes","yes","b11","3",4,19,-37,2,-15,4,0,1
"3705",71,"yes","yes","b11","3",5,17,-32,6,-14,3,0,1
"3706",71,"yes","yes","b11","3",6,19,-33,15,-11,1,1,1
"3707",71,"yes","yes","b11","3",7,20,-36,6,0,1,1,0
"3708",71,"yes","yes","b11","3",8,24,-33,10,-6,1,1,0
"3709",71,"yes","yes","b11","3",9,22,-29,1,-8,1,1,0
"3710",71,"yes","yes","b11","3",10,19,-32,6,-6,1,1,0
"3711",71,"yes","yes","b11","3",11,19,-26,3,2,1,1,0
"3712",71,"yes","yes","b11","3",12,21,-37,0,7,1,1,0
"3713",71,"yes","yes","b11","3",13,21,-23,-1,1,1,1,0
"3714",71,"yes","yes","b11","3",14,10,-23,-8,2,3,0,1
"3715",71,"yes","yes","b11","3",15,18,-27,5,12,2,0,1
"3716",71,"yes","yes","b11","3",16,20,-19,-3,12,4,0,1
"3717",71,"yes","yes","b11","3",17,13,-27,-11,1,4,0,0
"3718",71,"yes","yes","b11","3",18,10,-27,3,-7,1,1,1
"3719",71,"yes","yes","b11","3",19,10,-17,-3,-2,1,1,0
"3720",71,"yes","yes","b11","3",20,-4,-20,-14,-7,1,1,0
"3721",71,"yes","yes","b11","3",21,8,-28,-19,-9,1,1,0
"3722",71,"yes","yes","b11","3",22,2,-28,-8,-1,1,1,0
"3723",71,"yes","yes","b11","3",23,-9,-27,-10,-10,1,1,0
"3724",71,"yes","yes","b11","3",24,-11,-26,-15,-12,4,0,1
"3725",71,"yes","yes","b11","3",25,-10,-14,-5,-6,3,1,1
"3726",71,"yes","yes","b11","3",26,-14,-19,-3,-6,2,0,1
"3727",71,"yes","yes","b11","3",27,-3,-15,2,-9,2,0,0
"3728",71,"yes","yes","b11","3",28,-5,-11,1,-2,3,1,1
"3729",71,"yes","yes","b11","3",29,-5,-14,1,-6,1,0,1
"3730",71,"yes","yes","b11","3",30,-9,-21,1,-1,1,0,0
"3731",71,"yes","yes","b11","3",31,1,-18,-7,1,1,1,0
"3732",71,"yes","yes","b11","3",32,5,-19,-1,-4,4,0,1
"3733",71,"yes","yes","b11","3",33,0,-25,-13,8,3,0,1
"3734",71,"yes","yes","b11","3",34,7,-26,-22,13,2,0,1
"3735",71,"yes","yes","b11","3",35,-1,-20,-14,19,1,0,1
"3736",71,"yes","yes","b11","3",36,4,-18,-15,19,1,0,0
"3737",71,"yes","yes","b11","3",37,14,-23,-12,16,1,0,0
"3738",71,"yes","yes","b11","3",38,0,-3,-3,11,1,0,0
"3739",71,"yes","yes","b11","3",39,6,-18,-17,8,1,0,0
"3740",71,"yes","yes","b11","3",40,5,-18,-16,11,1,0,0
"3741",71,"yes","yes","b11","3",41,-2,-21,-15,13,1,0,0
"3742",71,"yes","yes","b11","3",42,2,-20,-19,1,1,1,0
"3743",71,"yes","yes","b11","3",43,16,-14,-25,-3,1,1,0
"3744",71,"yes","yes","b11","3",44,6,-20,-29,-14,1,1,0
"3745",71,"yes","yes","b11","3",45,4,-20,-20,-14,1,1,0
"3746",71,"yes","yes","b11","3",46,6,-19,-25,1,1,1,0
"3747",71,"yes","yes","b11","3",47,-1,-3,-22,-1,1,1,0
"3748",71,"yes","yes","b11","3",48,14,-14,-20,4,1,1,0
"3749",71,"yes","yes","b11","3",49,-4,-3,-23,11,1,0,0
"3750",71,"yes","yes","b11","3",50,-3,-8,-24,12,1,0,0
"3751",71,"no","yes","b13","4",1,-4,31,-38,11,1,0,NA
"3752",71,"no","yes","b13","4",2,-9,33,-33,2,2,1,1
"3753",71,"no","yes","b13","4",3,-13,27,-36,-3,3,0,1
"3754",71,"no","yes","b13","4",4,0,40,-34,-13,4,0,1
"3755",71,"no","yes","b13","4",5,-9,40,-31,-12,2,1,1
"3756",71,"no","yes","b13","4",6,-2,32,-35,-17,2,1,0
"3757",71,"no","yes","b13","4",7,-9,34,-31,-23,2,1,0
"3758",71,"no","yes","b13","4",8,-2,33,-34,-22,2,1,0
"3759",71,"no","yes","b13","4",9,-14,29,-40,-31,2,1,0
"3760",71,"no","yes","b13","4",10,-11,25,-35,-20,2,1,0
"3761",71,"no","yes","b13","4",11,-11,24,-39,-32,2,1,0
"3762",71,"no","yes","b13","4",12,-10,17,-31,-29,2,1,0
"3763",71,"no","yes","b13","4",13,-5,10,-29,-30,1,0,1
"3764",71,"no","yes","b13","4",14,-9,-1,-37,-29,2,1,1
"3765",71,"no","yes","b13","4",15,-9,1,-33,-19,3,0,1
"3766",71,"no","yes","b13","4",16,-11,13,-31,-16,0,0,1
"3767",71,"no","yes","b13","4",17,5,5,-29,-22,2,0,1
"3768",71,"no","yes","b13","4",18,-3,-1,-26,-23,4,0,1
"3769",71,"no","yes","b13","4",19,6,-9,-37,-22,2,0,1
"3770",71,"no","yes","b13","4",20,0,-2,-24,-20,1,1,1
"3771",71,"no","yes","b13","4",21,1,-6,-39,-18,1,1,0
"3772",71,"no","yes","b13","4",22,-1,-17,-38,-6,1,1,0
"3773",71,"no","yes","b13","4",23,-3,-16,-38,-9,1,1,0
"3774",71,"no","yes","b13","4",24,-2,-11,-33,0,3,0,1
"3775",71,"no","yes","b13","4",25,-5,-19,-26,6,4,1,1
"3776",71,"no","yes","b13","4",26,-3,-26,-34,5,2,0,1
"3777",71,"no","yes","b13","4",27,10,-31,-29,-9,4,0,1
"3778",71,"no","yes","b13","4",28,16,-29,-26,-11,2,0,1
"3779",71,"no","yes","b13","4",29,15,-19,-21,-9,1,1,1
"3780",71,"no","yes","b13","4",30,4,-18,-22,-9,1,1,0
"3781",71,"no","yes","b13","4",31,5,-11,-22,-7,1,1,0
"3782",71,"no","yes","b13","4",32,12,-15,-27,-9,1,1,0
"3783",71,"no","yes","b13","4",33,10,-18,-32,-4,1,1,0
"3784",71,"no","yes","b13","4",34,17,-19,-18,-5,1,1,0
"3785",71,"no","yes","b13","4",35,14,-17,-23,4,1,1,0
"3786",71,"no","yes","b13","4",36,1,-21,-22,3,1,0,0
"3787",71,"no","yes","b13","4",37,2,-15,-25,21,1,0,0
"3788",71,"no","yes","b13","4",38,18,-18,-19,3,3,0,1
"3789",71,"no","yes","b13","4",39,14,-21,-26,4,1,1,1
"3790",71,"no","yes","b13","4",40,-2,-19,-24,13,1,0,0
"3791",71,"no","yes","b13","4",41,3,-15,-21,3,4,0,1
"3792",71,"no","yes","b13","4",42,-5,-6,-19,9,4,1,0
"3793",71,"no","yes","b13","4",43,-6,-19,-17,9,4,1,0
"3794",71,"no","yes","b13","4",44,-4,-31,-7,12,4,1,0
"3795",71,"no","yes","b13","4",45,7,-30,-8,12,4,1,0
"3796",71,"no","yes","b13","4",46,-3,-30,-15,20,4,1,0
"3797",71,"no","yes","b13","4",47,-10,-29,-23,13,0,0,1
"3798",71,"no","yes","b13","4",48,-2,-23,-15,6,4,1,1
"3799",71,"no","yes","b13","4",49,-8,-27,-18,3,4,1,0
"3800",71,"no","yes","b13","4",50,-1,-26,-13,9,4,1,0
"3801",76,"no","no","b03","1",1,-20,27,-26,37,4,1,NA
"3802",76,"no","no","b03","1",2,-33,41,-14,54,1,0,1
"3803",76,"no","no","b03","1",3,-43,45,-25,40,0,0,1
"3804",76,"no","no","b03","1",4,-76,47,-7,33,1,0,1
"3805",76,"no","no","b03","1",5,-73,32,23,11,1,0,0
"3806",76,"no","no","b03","1",6,-68,16,14,3,4,0,1
"3807",76,"no","no","b03","1",7,-64,39,14,7,2,1,1
"3808",76,"no","no","b03","1",8,-58,32,38,-4,3,1,1
"3809",76,"no","no","b03","1",9,-46,17,32,-21,4,0,1
"3810",76,"no","no","b03","1",10,-9,7,42,-14,2,0,1
"3811",76,"no","no","b03","1",11,-31,16,55,-25,1,0,1
"3812",76,"no","no","b03","1",12,-43,16,70,-24,4,0,1
"3813",76,"no","no","b03","1",13,-21,10,53,-38,4,0,0
"3814",76,"no","no","b03","1",14,10,-18,30,-13,2,0,1
"3815",76,"no","no","b03","1",15,21,5,22,7,3,1,1
"3816",76,"no","no","b03","1",16,-2,3,17,12,1,0,1
"3817",76,"no","no","b03","1",17,-38,-3,25,1,4,0,1
"3818",76,"no","no","b03","1",18,-43,-12,20,2,1,0,1
